"treatment","unit","day_start","day_end","interval_days","interval_label","len_start","len_end","rate_um_per_day"
"control","C1","Oct15","Oct20",5,"Oct15_Oct20",135.139896551724,478.59112,68.6902446896552
"probiotic","P1","Oct15","Oct20",5,"Oct15_Oct20",121.726826086957,469.97372,69.6493787826087
"control","C1","Oct20","Oct23",3,"Oct20_Oct23",478.59112,803.308951219512,108.239277073171
"control","C2","Oct20","Oct23",3,"Oct20_Oct23",483.80868627451,772.636634615385,96.2759827802916
"control","C3","Oct20","Oct23",3,"Oct20_Oct23",498.12474,764.91156,88.92894
"control","C4","Oct20","Oct23",3,"Oct20_Oct23",476.174592592593,794.867839285714,106.231082231041
"probiotic","P1","Oct20","Oct23",3,"Oct20_Oct23",469.97372,768.674795454545,99.5670251515152
"probiotic","P2","Oct20","Oct23",3,"Oct20_Oct23",450.653326923077,825.622316666667,124.989663247863
"probiotic","P3","Oct20","Oct23",3,"Oct20_Oct23",465.18094,804.67156060606,113.16354020202
"probiotic","P4","Oct20","Oct23",3,"Oct20_Oct23",468.25644,820.83462745098,117.52606248366
