"treatment","unit","day","mean_length"
"control","C1","Oct15",135.139896551724
"control","C1","Oct20",478.59112
"control","C1","Oct23",803.308951219512
"control","C2","Oct20",483.80868627451
"control","C2","Oct23",772.636634615385
"control","C3","Oct20",498.12474
"control","C3","Oct23",764.91156
"control","C4","Oct20",476.174592592593
"control","C4","Oct23",794.867839285714
"probiotic","P1","Oct15",121.726826086957
"probiotic","P1","Oct20",469.97372
"probiotic","P1","Oct23",768.674795454545
"probiotic","P2","Oct20",450.653326923077
"probiotic","P2","Oct23",825.622316666667
"probiotic","P3","Oct20",465.18094
"probiotic","P3","Oct23",804.67156060606
"probiotic","P4","Oct20",468.25644
"probiotic","P4","Oct23",820.83462745098
